,GPSpoint,Plot_no,Rep,Silt_A,Silt_B,Silt_C,Silt_D,Sand_A,Sand_B,Sand_C,Sand_D,Clay_A,Clay_B,Clay_C,Clay_D
0,1.0,1.0,1.0,22.72,22.72,22.72,20.72,53.12,47.12,59.12,59.12,24.160000000000004,30.160000000000004,18.160000000000004,20.160000000000004
1,2.0,1.0,1.0,18.72,18.72,16.72,14.719999999999999,53.12,49.12,49.12,59.12,28.16,32.160000000000004,34.160000000000004,26.160000000000004
2,3.0,1.0,1.0,26.72,22.72,24.72,16.72,53.12,45.12,55.120000000000005,55.120000000000005,20.160000000000004,32.160000000000004,20.160000000000004,28.16
3,4.0,1.0,1.0,24.72,24.72,24.72,16.72,53.12,45.12,55.120000000000005,55.120000000000005,22.160000000000004,30.160000000000004,20.160000000000004,28.16
4,5.0,2.0,1.0,20.72,16.72,27.439999999999998,13.439999999999998,51.12,49.12,46.4,60.4,28.16,34.160000000000004,26.160000000000004,26.160000000000004
5,6.0,2.0,1.0,26.72,20.72,22.72,16.72,55.120000000000005,51.12,57.11999999999999,57.11999999999999,18.160000000000004,28.16,20.160000000000004,26.160000000000004
6,7.0,2.0,1.0,26.72,24.72,24.0,16.0,53.12,47.12,57.83999999999999,63.839999999999996,20.160000000000004,28.16,18.160000000000004,20.160000000000004
7,8.0,2.0,1.0,28.72,18.72,12.719999999999999,-1.2800000000000011,41.12,41.12,55.120000000000005,67.12,30.160000000000004,40.160000000000004,32.160000000000004,34.160000000000004
8,9.0,3.0,1.0,24.72,22.72,24.72,12.719999999999999,53.12,47.12,57.11999999999999,67.12,22.160000000000004,30.160000000000004,18.160000000000004,20.160000000000004
9,10.0,3.0,1.0,24.72,22.72,22.72,20.72,55.120000000000005,51.12,53.12,49.12,20.160000000000004,26.160000000000004,24.160000000000004,30.160000000000004
10,11.0,3.0,1.0,16.72,16.72,18.72,10.719999999999999,55.120000000000005,49.12,51.12,65.12,28.16,34.160000000000004,30.160000000000004,24.160000000000004
11,12.0,3.0,1.0,26.72,24.72,20.72,18.72,53.12,43.12,61.12,57.11999999999999,20.160000000000004,32.160000000000004,18.160000000000004,24.160000000000004
12,13.0,4.0,1.0,20.720000000000013,20.72,20.720000000000013,18.72,57.83999999999999,51.839999999999996,57.83999999999999,55.84,21.439999999999998,27.439999999999998,21.439999999999998,25.439999999999998
13,14.0,4.0,1.0,17.439999999999998,15.439999999999998,13.439999999999998,17.439999999999998,55.120000000000005,63.12,65.12,63.12,27.439999999999998,21.439999999999998,21.439999999999998,19.439999999999998
14,15.0,4.0,1.0,21.440000000000012,21.439999999999998,21.439999999999998,13.439999999999998,57.11999999999999,53.12,53.12,59.12,21.439999999999998,25.439999999999998,25.439999999999998,27.439999999999998
15,16.0,4.0,1.0,20.72,20.72,20.72,16.720000000000013,53.839999999999996,41.839999999999996,49.839999999999996,57.83999999999999,25.439999999999998,37.44,29.439999999999998,25.439999999999998
16,17.0,5.0,1.0,18.72,15.440000000000012,19.439999999999998,17.439999999999998,53.839999999999996,57.11999999999999,47.12,55.120000000000005,27.439999999999998,27.439999999999998,33.44,27.439999999999998
17,18.0,5.0,1.0,20.720000000000013,20.72,20.72,14.720000000000013,57.83999999999999,49.839999999999996,51.839999999999996,57.83999999999999,21.439999999999998,29.439999999999998,27.439999999999998,27.439999999999998
18,19.0,5.0,1.0,24.72,28.72,28.72,24.72,54.559999999999995,46.56,48.56,42.56,20.720000000000006,24.720000000000006,22.720000000000006,32.720000000000006
19,20.0,5.0,1.0,19.439999999999998,15.439999999999998,11.439999999999998,13.439999999999998,53.12,59.12,63.12,67.12,27.439999999999998,25.439999999999998,25.439999999999998,19.439999999999998
20,21.0,6.0,2.0,24.72,21.439999999999998,24.72,18.72,53.839999999999996,59.839999999999996,60.56,60.56,21.439999999999998,18.720000000000006,14.720000000000006,20.720000000000006
21,22.0,6.0,2.0,22.72,22.72,26.72,12.720000000000013,55.84,47.839999999999996,51.839999999999996,57.83999999999999,21.439999999999998,29.439999999999998,21.439999999999998,29.439999999999998
22,23.0,6.0,2.0,18.72,16.720000000000013,16.720000000000013,14.719999999999999,53.839999999999996,51.839999999999996,51.839999999999996,55.84,27.439999999999998,31.439999999999994,31.439999999999994,29.439999999999998
23,24.0,6.0,2.0,24.72,16.72,26.72,18.720000000000013,55.84,59.839999999999996,55.84,57.83999999999999,19.439999999999998,23.439999999999998,17.439999999999998,23.439999999999998
24,25.0,7.0,2.0,22.72,20.72,24.72,18.72,56.56,58.56,62.56,62.56,20.720000000000006,20.720000000000006,12.720000000000004,18.720000000000006
25,26.0,7.0,2.0,18.72,16.720000000000013,16.72,10.720000000000013,53.839999999999996,51.839999999999996,47.839999999999996,57.83999999999999,27.439999999999998,31.439999999999994,35.44,31.439999999999994
26,27.0,7.0,2.0,24.72,25.439999999999998,24.72,18.719999999999985,55.84,43.839999999999996,50.56,50.56,19.439999999999998,30.72000000000001,24.720000000000006,30.72000000000001
27,28.0,7.0,2.0,22.72,20.72,22.72,18.719999999999985,56.56,58.56,58.56,52.56000000000001,20.720000000000006,20.720000000000006,18.720000000000006,28.720000000000006
28,29.0,8.0,2.0,21.439999999999998,18.72,18.72,14.719999999999999,49.839999999999996,43.839999999999996,43.839999999999996,55.84,28.720000000000006,37.44,37.44,29.439999999999998
29,30.0,8.0,2.0,25.439999999999998,23.439999999999998,25.439999999999998,18.72,55.84,59.839999999999996,59.839999999999996,54.559999999999995,18.720000000000006,16.720000000000006,14.720000000000006,26.720000000000006
30,31.0,8.0,2.0,26.72,22.72,24.72,18.72,54.559999999999995,54.559999999999995,58.56,60.56,18.720000000000006,22.720000000000006,16.720000000000006,20.720000000000006
31,32.0,8.0,2.0,18.72,14.719999999999999,12.719999999999999,10.719999999999999,53.839999999999996,59.839999999999996,69.84,71.84,27.439999999999998,25.439999999999998,17.439999999999998,17.439999999999998
32,33.0,9.0,2.0,24.72,22.72,20.72,18.0,55.84,55.84,61.839999999999996,62.56,19.439999999999998,21.439999999999998,17.439999999999998,19.439999999999998
33,34.0,9.0,2.0,22.72,18.72,16.72,14.719999999999999,56.56,58.56,70.56,70.56,20.720000000000006,22.720000000000006,12.720000000000004,14.720000000000006
34,35.0,9.0,2.0,18.72,18.72,18.72,16.72,51.839999999999996,45.839999999999996,47.839999999999996,53.839999999999996,29.439999999999998,35.44,33.44,29.439999999999998
35,36.0,9.0,2.0,24.72,27.439999999999998,26.72,16.72,53.839999999999996,51.839999999999996,58.56,60.56,21.439999999999998,20.720000000000006,14.720000000000006,22.720000000000006
36,37.0,10.0,2.0,22.72,20.72,24.72,22.72,54.559999999999995,58.56,60.56,58.56,22.720000000000006,20.720000000000006,14.720000000000006,18.720000000000006
37,38.0,10.0,2.0,20.72,19.439999999999998,21.439999999999998,17.439999999999998,51.839999999999996,47.12,41.12,49.12,27.439999999999998,33.44,37.44,33.44
38,39.0,10.0,2.0,22.72,20.720000000000013,22.72,18.72,53.839999999999996,57.83999999999999,51.839999999999996,61.839999999999996,23.439999999999998,21.439999999999998,25.439999999999998,19.439999999999998
39,40.0,10.0,2.0,20.72,16.72,24.72,18.719999999999985,56.56,58.56,54.559999999999995,50.56,22.720000000000006,24.720000000000006,20.720000000000006,30.72000000000001
40,41.0,11.0,3.0,16.72,12.719999999999999,18.720000000000013,16.72,53.839999999999996,55.84,49.839999999999996,49.839999999999996,29.439999999999998,31.439999999999994,31.439999999999994,33.44
41,42.0,11.0,3.0,20.72,18.72,24.0,20.0,53.839999999999996,55.84,56.56,54.559999999999995,25.439999999999998,25.439999999999998,19.439999999999998,25.439999999999998
42,43.0,11.0,3.0,26.719999999999985,24.0,30.0,22.0,52.56000000000001,51.279999999999994,51.279999999999994,47.279999999999994,20.720000000000006,24.720000000000006,18.720000000000006,30.72000000000001
43,44.0,11.0,3.0,18.72,17.439999999999998,15.439999999999998,21.440000000000012,53.839999999999996,59.12,65.12,57.11999999999999,27.439999999999998,23.439999999999998,19.439999999999998,21.439999999999998
44,45.0,12.0,3.0,26.72,24.72,26.0,22.72,51.839999999999996,49.839999999999996,48.56,47.839999999999996,21.439999999999998,25.439999999999998,25.439999999999998,29.439999999999998
45,46.0,12.0,3.0,22.0,26.0,26.0,16.0,52.400000000000006,50.4,56.39999999999999,56.39999999999999,25.6,23.6,17.6,27.6
46,47.0,12.0,3.0,18.0,16.0,18.000000000000014,20.0,53.67999999999999,57.68,59.679999999999986,57.68,28.320000000000007,26.320000000000004,22.320000000000004,22.320000000000004
47,48.0,12.0,3.0,18.72,14.719999999999999,22.72,14.720000000000013,55.67999999999999,61.67999999999999,55.67999999999999,59.679999999999986,25.6,23.6,21.6,25.6
48,49.0,13.0,3.0,22.72,16.72,16.72,16.72,51.67999999999999,55.67999999999999,57.68,47.67999999999999,25.6,27.6,25.6,35.6
49,50.0,13.0,3.0,22.72,9.439999999999998,16.72,12.719999999999999,53.67999999999999,58.96,55.67999999999999,55.67999999999999,23.6,31.6,27.6,31.6
50,51.0,13.0,3.0,20.72,22.72,24.72,16.72,55.67999999999999,45.67999999999999,47.67999999999999,51.67999999999999,23.6,31.6,27.6,31.6
51,52.0,13.0,3.0,20.72,22.72,20.72,16.72,54.400000000000006,50.4,52.400000000000006,60.4,24.880000000000003,26.880000000000003,26.880000000000003,22.880000000000003
52,53.0,14.0,3.0,18.72,20.72,14.719999999999999,16.72,53.67999999999999,49.67999999999999,55.67999999999999,49.67999999999999,27.6,29.600000000000005,29.600000000000005,33.6
53,54.0,14.0,3.0,20.72,24.72,24.72,16.72,52.400000000000006,50.4,46.4,50.4,26.880000000000003,24.880000000000003,28.88,32.88
54,55.0,14.0,3.0,18.72,14.719999999999999,20.72,16.72,54.400000000000006,58.4,56.39999999999999,58.4,26.880000000000003,26.880000000000003,22.880000000000003,24.880000000000003
55,56.0,14.0,3.0,16.72,13.439999999999998,14.719999999999999,10.720000000000013,53.67999999999999,54.96,49.67999999999999,59.679999999999986,29.600000000000005,31.6,35.6,29.600000000000005
56,57.0,15.0,3.0,18.72,16.72,18.72,18.72,54.400000000000006,56.39999999999999,56.39999999999999,56.39999999999999,26.880000000000003,26.880000000000003,24.880000000000003,24.880000000000003
57,58.0,15.0,3.0,20.0,16.72,18.72,20.72,55.120000000000005,58.4,64.4,62.4,24.880000000000003,24.880000000000003,16.880000000000003,16.880000000000003
58,59.0,15.0,3.0,20.72,16.72,18.72,18.72,51.67999999999999,55.67999999999999,43.67999999999999,49.67999999999999,27.6,27.6,37.6,31.6
59,60.0,15.0,3.0,24.0,22.72,24.72,20.72,54.400000000000006,52.400000000000006,50.4,48.4,21.6,24.880000000000003,24.880000000000003,30.880000000000003
